id;answer;city;state_province
1;Home;Hahnside;North Dakota
2;azure Orchestrator SCSI;East Sigridhaven;ADP Street
3;secondary Configuration Montana;Lake Alainamouth;models Trail
4;Concrete;Port Dimitri;Western Sahara Human
5;Kwacha system engine;Savanahton;Holy See (Vatican City State)
6;hierarchy Unbranded Metal Pizza maximized;Feestmouth;innovate bypass
7;solid state Credit Card Account Table;Zboncakview;District Gorgeous
8;Ameliorated Turnpike;Ullrichfurt;bypass Lead web-readiness
9;even-keeled;Lake Adriannafort;Gorgeous Granite Salad
10;Markets Zambian Kwacha Credit Card Account;Gusikowskiland;Assurance
